PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL)
15-Feb-14,Well_#1,0,"4,050",189.866,0,1.17951,482.46,50.864,0,0,0,0
16-Feb-14,Well_#1,0,"3,961",189.945,0,2.9944,328.601,47.668,0,0,0,0
17-Feb-14,Well_#1,0,"3,961",190.004,0,1.90349,387.218,48.962,0,0,0,0
18-Feb-14,Well_#1,0,"3,964",190.02,0,0,308.98,46.636,0,0,0,0
19-Feb-14,Well_#1,0,"3,965",190.107,0,30.2076,196.057,47.297,0,0,0,0
20-Feb-14,Well_#1,0,"3,964",190.181,0,0,58.036,47.878,0,0,0,0
21-Feb-14,Well_#1,0,"3,972",189.939,0,39.99891,304.692,47.938,0,0,0,0
22-Feb-14,Well_#1,0,"3,978",189.609,0,0,453.734,49.351,0,0,0,0
23-Feb-14,Well_#1,0,"3,985",189.435,0,0.42376,667.13,49.351,0,0,0,0
24-Feb-14,Well_#1,0,"4,096",189.343,0,0.44066,440.036,49.316,0,0,0,0
25-Feb-14,Well_#1,0,"3,933",199.472,0,20.36006,"1,377.34",66.554,0,0,0,0
26-Feb-14,Well_#1,12,"3,777",205.561,"1,049.64",42.04315,"1,557.76",82.885,631,636,852,0
27-Feb-14,Well_#1,24,"3,527",207.698,962.464,45.7525,"1,456.12",116.828,"1,798","1,802","2,518",0
28-Feb-14,Well_#1,24,"3,430",208.071,998.02,46.30034,"1,375.62",120.235,"3,348","3,362","4,715",0
01-Mar-14,Well_#1,24,"3,335",208.24,977.291,47.07776,"1,271.45",122.467,"4,596","4,614","6,514",0
02-Mar-14,Well_#1,24,"3,226",208.374,985.493,48.34917,"1,261.95",124.217,"5,942","5,969","8,289",0
03-Mar-14,Well_#1,24,"3,142",208.377,971.198,48.78807,"1,202.41",126.017,"7,292","7,337","10,081",0
04-Mar-14,Well_#1,24,"3,067",208.357,970.844,49.2138,"1,092.62",127.378,"8,637","8,694","11,931",0
05-Mar-14,Well_#1,24,"3,037",208.268,"1,034.27",48.6105,"1,092.96",124.192,"9,917","9,995","13,696",0
06-Mar-14,Well_#1,24,"3,045",208.111,"1,020.24",47.45899,"1,075.00",119.861,"11,142","11,241","15,436",0
07-Mar-14,Well_#1,24,"3,016",208.084,969.03,47.47047,"1,054.01",119.238,"12,355","12,469","17,176",0
08-Mar-14,Well_#1,24,"3,020",207.985,"1,005.45",46.85459,"1,075.32",116.814,"13,429","13,558","18,718",0
09-Mar-14,Well_#1,24,"3,011",207.949,"1,036.84",46.72829,"1,074.47",116.637,"14,474","14,599","20,132",0
10-Mar-14,Well_#1,24,"3,009",207.898,987.094,46.04211,"1,100.84",113.142,"15,444","15,579","21,520",0
11-Mar-14,Well_#1,24,"2,994",207.923,986.576,46.40482,"1,056.70",108.123,"16,390","16,543","22,900",0
12-Mar-14,Well_#1,24,"2,948",208.057,962.554,47.53541,"1,043.21",114.041,"17,393","17,563","24,309",0
13-Mar-14,Well_#1,24,"2,946",208.02,"1,022.89",46.48279,"1,012.64",111.873,"18,318","18,512","25,648",0
14-Mar-14,Well_#1,24,"2,945",207.992,962.694,45.87804,"1,003.55",112.215,"19,232","19,410","26,935",0
15-Mar-14,Well_#1,24,"2,950",207.764,"1,022.05",46.69035,"1,051.51",111.796,"20,176","19,777","27,463",0
16-Mar-14,Well_#1,24,"2,938",208.017,"1,023.26",46.06907,"1,018.87",112.763,"21,000","20,605","28,561",0
17-Mar-14,Well_#1,24,"2,950",207.91,"1,039.04",45.52558,"1,006.03",111.069,"21,769","21,387","29,586",0
18-Mar-14,Well_#1,24,"2,961",207.82,"1,045.25",44.94514,"1,005.84",107.157,"22,509","22,141","30,665",0
19-Mar-14,Well_#1,24,"2,944",207.86,"1,041.88",43.80723,"1,023.26",108.258,"23,223","22,865","31,634",0
20-Mar-14,Well_#1,24,"2,948",207.807,998.181,44.92695,991.898,98.741,"23,966","23,616","32,620",0
